Grammar;By the end of this year, I ... my project;will finish;will have finished;have finished;will be finishing;B
Grammar;If he had taken the earlier bus, he ...;had not missed;will not miss;would not have missed;would not miss;C
Grammar;The teacher apologized for ... late to the class.;Arrives;To arrive;Arrived;Arriving;D
Grammar;The manager had the report ... by his assistant.;Write;Writing;Written;To write;C
Grammar;If I were you, ... mathematics, not sains.;I will study;I would study;I had studied;I would have studied;B
Grammar;The lights are off. The children ... already to asleep.;Must;Can;Should;May;A
Grammar;If I had studied harder, I ... the exam.;will pass;would pass;would have passed;pass;C
Grammar;I wish I ... more time to travel.;have;had;have had;will have;B
Grammar;By the time you arrive, we ... dinner.;will finish;will be finishing;will have finished;have finished;C
Grammar;Not only ... the book, but she also remembered what she had read.;she read;did she read;she has read;does she read;B
Grammar;They didn't ... to the party last night.;came;come;comes;is coming;B
Grammar;If I ... you, I would accept the scholarship immediately.;am;was;were;have been;C
Grammar;The new bridge ... by the construction team next month.;is built;will be built;was built;built;B
Grammar;I ... my homework when the lights suddenly went out.;am doing;did;have done;was doing;D
Grammar;He enjoys ... novels in his spare time.;read;to read;reading;reads;C
Grammar;We ... in this neighborhood since 2015.;live;are living;have lived;lived;C
Grammar;I really need to have my car ... before the road trip.;repair;repairing;to repair;repaired;D
Grammar;She told me that she ... busy that day.;is;was;has been;will be;B
VOCAB;Which word is the closest synonym for 'Inevitable'?;Unavoidable;Uncertain;Preventable;Doubtful;A
VOCAB;What does 'Accomplish' mean in an academic context?;To fail miserably;To achieve or complete successfully;To start a journey;To confuse someone;B
VOCAB;What is the definition of 'Accumulate'?;To disperse widely;To divide into parts;To gather or collect over time;To decrease rapidly;C
VOCAB;Choose the antonym for 'Temporary'.;Brief;Fleeting;Momentary;Permanent;D
VOCAB;The word 'Resilient' best describes someone who...;Gives up easily;Can recover quickly from difficulties;Is physically weak;Avoids challenges;B
VOCAB;Which word means 'to remove' or 'get rid of?;Establish;Create;Eliminate;Maintain;C
VOCAB;What is a synonym for 'Fundamental'?;Secondary;Basic;Optional;Advanced;B
VOCAB;The word 'Appropriate' means...;Incorrect;Rude;Unexpected;Suitable or proper;D
VOCAB;Which is a synonym for 'Obstacle'?;Assistant;Barrier;Advantage;Clearance;B
VOCAB;Complete the sentence: ""She tried to ... him that it was a bad idea."";Prevent;Pervade;Persuade;Predict;C
VOCAB;What is the meaning of ""confident""?;Shy;Certain;Nervous;Silent;B
VOCAB;What is the synonym of ""ancient""?;Old;Young;Ugly;Fast;A
VOCAB;Choose the word closest in meaning to ""increase"".;Decrease;Improve;Raise;Dull;C
VOCAB;What is the antonym of ""generous""?;Friendly;Kind;Selfish;Honest;C
VOCAB;The word ""purchase"" means...;Sell;Buy;Build;Destroy;B
VOCAB;What does ""efficient"" mean?;Wasteful;Productive;Confusing;Slow;B
VOCAB;Choose the correct synonym for ""brave"".;Scared;Afraid;Courageous;Tired;C
VOCAB;The word ""temporary"" means...;Forever;Permanent;Short-term;Heavy;C
VOCAB;What is the meaning of ""deliver""?;Send;Return;Receive;Eat;A
VOCAB;Choose the correct word to complete: She was ... when she heard the news.;thrilled;boring;tired;quiet;A
VOCAB;The word ""miserable"" is closest in meaning to...;Happy;Sad;Funny;Smart;B
VOCAB;What is the antonym of ""frequent""?;Rare;Often;Usual;Regular;A
VOCAB;""Reluctant"" means...;Eager;Unwilling;Excited;Ready;B
VOCAB;What is the meaning of ""unique""?;Common;Similar;Ordinary;Special;D
VOCAB;Choose the synonym of ""assist"".;Hurt;Help;Ignore;Break;B
VOCAB;What does ""vanish"" mean?;Appear;Grow;Disappear;Stand;C
VOCAB;""Relieved"" means...;Worried;Calm;Happy after worry;Angry;C
VOCAB;The word ""remarkable"" means...;Ordinary;Noticed;Forgotten;Boring;B
VOCAB;What is the meaning of ""argue""?;Sing;Fight verbally;Play;Cook;B
VOCAB;The word ""predict"" means...;Guess the future;Describe the past;Rest;Forget;AGRAMMAR;Tes;tas;tis;tus;tes;D
GRAMMAR;Which is the plural form of 'book'?;book-book;bookbook;books;there is no correct option;C
